seqname	trim_orf_index_start	trim_orf_index_end	trim_bp_start	trim_bp_end	trim_pr	trim_pr_max	prox_orf_index_start	prox_orf_index_end	prox_bp_start	prox_bp_end	prox_pr	prox_pr_max	partial	full_orf_index_start	full_orf_index_end	full_bp_start	full_bp_end	pr_full	hallmark_cnt	group
f8f819ce-e3af-45c4-b55f-8010999f516b	1	2	420	1960	0.973	0.973	1	6	420	4646	NA	NA	0	1	6	420	4646	0.793	0	lavidaviridae
f8c63926-24ec-4b12-8eda-704294688e3e	1	2	3	1053	0.490	0.490	1	2	3	1053	NA	NA	0	1	2	3	1053	0.645	0	RNA
f89877bd-db59-4089-b9e3-57fd6f15b351	2	3	450	1822	0.907	0.907	1	3	75	1822	NA	NA	0	1	3	75	1822	0.740	0	lavidaviridae
f8693e01-270f-4bc4-b284-5bf3c3f3f729	1	6	34	3921	0.980	0.993	1	6	34	3921	NA	NA	0	1	6	34	3921	0.960	0	NCLDV
f7eb1486-bdda-4fbd-8b17-ff5fc6bb8b01	1	4	3	4229	1.000	1.000	1	4	3	4229	NA	NA	0	1	4	3	4229	0.993	2	dsDNAphage
f76ade7c-183d-4e62-9cc3-45182e193ef7	1	9	2	8961	0.980	1.000	1	9	2	8961	NA	NA	0	1	9	2	8961	0.973	3	dsDNAphage
f75131e5-8418-4e8f-9055-d91eab89999b	1	3	78	1658	0.980	0.980	1	3	78	1658	NA	NA	0	1	3	78	1658	0.967	0	NCLDV
f74f26f8-c549-4e31-b44b-0aa4dd7f7ebf	1	3	96	1474	1.000	1.000	1	3	96	1474	NA	NA	0	1	3	96	1474	1.000	0	ssDNA
f7470301-548a-413b-ac7f-a29a89465104	1	6	88	3369	0.980	1.000	1	6	88	3369	NA	NA	0	1	6	88	3369	0.987	1	dsDNAphage
f745e721-dd23-477e-b6a7-8970b76779d5	4	9	3114	6349	1.000	1.000	1	9	652	6349	NA	NA	0	1	9	652	6349	0.853	0	NCLDV
f6401932-a605-4a50-939f-fb2024808cb0	1	5	1	2203	0.967	0.967	1	5	1	2203	NA	NA	0	1	5	1	2203	0.927	0	dsDNAphage
f59073fd-c270-404b-9208-74c1ca293397	1	4	2	2128	0.987	1.000	1	5	2	4260	NA	NA	0	1	5	2	4260	0.920	0	ssDNA
f5693bde-5bee-4400-8cb9-0d315a83ba8a	1	2	3	925	0.890	0.890	1	3	3	1044	NA	NA	0	1	3	3	1044	0.950	0	RNA
f5365135-9c35-4fba-96c7-2e4b9dcf719d	1	2	374	3036	0.993	0.993	1	2	374	3036	NA	NA	0	1	2	374	3036	1.000	1	dsDNAphage
f40cfd6a-b5c7-410d-94da-5cd87e342747	1	3	3	2712	0.920	0.920	1	3	3	2712	NA	NA	0	1	3	3	2712	0.893	0	ssDNA
f3a802ba-4d3b-4884-bb03-b6d04ab4e1ca	1	3	3	1326	1.000	1.000	1	3	3	1326	NA	NA	0	1	3	3	1326	1.000	0	ssDNA
f3952479-8f61-4fa3-b203-ff26e95e0025	1	4	1	2514	1.000	1.000	1	4	1	2514	NA	NA	0	1	4	1	2514	0.987	0	ssDNA
f2e4883c-6cc0-4753-821f-2647f59806bf	2	5	282	1828	0.953	0.987	1	9	2	4373	NA	NA	0	1	9	2	4373	0.833	0	ssDNA
f2d4185c-62a3-423f-8c85-580f3bb7634b	1	6	3	3399	0.987	0.987	1	6	3	3399	NA	NA	0	1	6	3	3399	0.927	0	NCLDV
f2bf45d0-dc90-4ef3-b3f0-22562f88416c	1	10	53	8858	1.000	1.000	1	10	53	8858	NA	NA	0	1	10	53	8858	1.000	2	dsDNAphage
f27a23f6-fc60-4b6e-8343-7a596f9105f8	1	5	447	3597	0.987	0.987	1	7	447	5057	NA	NA	0	1	7	447	5057	0.760	0	dsDNAphage
f12f25f8-f3d9-4e3f-8e15-98605d7bcbe5	1	3	121	1870	0.980	0.987	1	3	121	1870	NA	NA	0	1	3	121	1870	0.960	0	NCLDV
f0843698-aa30-4b97-9f19-062f40e50afc	1	2	160	514	0.793	0.793	1	3	160	1362	NA	NA	0	1	3	160	1362	0.680	0	ssDNA
f050a9f2-e6d2-48aa-8965-524ce2937970	2	5	1184	6428	0.727	0.727	1	6	1	7036	NA	NA	0	1	6	1	7036	0.760	0	NCLDV
eff4f45f-81fa-466a-a22b-eca1353fc1e1	1	8	1	6759	1.000	1.000	1	8	1	6759	NA	NA	0	1	8	1	6759	1.000	1	dsDNAphage
efa60f18-ff3d-4d78-a42a-7cf87df1ab04	2	9	588	4590	0.987	1.000	1	10	2	4952	NA	NA	0	1	10	2	4952	0.987	0	NCLDV
ef7bed65-24e3-4d92-87ab-3d9331287c03	1	10	2	10982	1.000	1.000	1	10	2	10982	NA	NA	0	1	10	2	10982	1.000	3	dsDNAphage
ef6e1e87-c288-4f60-b21d-356ba0e9bac4	1	8	276	5344	0.967	0.993	1	8	276	5344	NA	NA	0	1	8	276	5344	0.980	1	dsDNAphage
ef2382c4-88e4-4893-90ea-b3070a8ad863	1	2	326	1125	0.813	0.813	1	2	326	1125	NA	NA	0	1	2	326	1125	0.980	0	ssDNA
ef1f00db-cb63-442e-a153-24c4224569d4	2	3	615	2479	0.973	0.973	1	5	223	4321	NA	NA	0	1	5	223	4321	0.780	0	ssDNA
eef01cd6-49d2-4123-888d-5fe71fbb7c66	1	2	3	1295	0.705	0.705	1	3	3	2890	NA	NA	0	1	3	3	2890	0.630	0	RNA
eebaed73-d959-49de-914f-023a0d9a7ec9	5	11	2705	4626	0.933	0.933	1	15	1	6297	NA	NA	0	1	15	1	6297	0.767	0	dsDNAphage
ee27e32b-21c0-43ed-a0a0-86a6591035f8	1	3	3	1648	0.987	1.000	1	3	3	1648	NA	NA	0	1	3	3	1648	0.953	1	dsDNAphage
edbe9823-ce6e-4a94-9d3f-de43b09648f5	3	4	2124	3225	0.993	0.993	1	4	65	3225	NA	NA	0	1	4	65	3225	0.887	1	dsDNAphage
ed7fd5f3-e883-4021-b5a8-d73e3bde3263	2	3	280	1282	0.993	0.993	1	3	2	1282	NA	NA	0	1	3	2	1282	1.000	0	ssDNA
ed31e1e3-e561-4afe-b5cd-9180b9d76752	1	3	688	2277	1.000	1.000	1	3	688	2277	NA	NA	0	1	3	688	2277	1.000	0	ssDNA
ed2d0820-3a6c-4f10-a81d-382f8c70290d	1	3	1	1694	0.987	0.987	1	3	1	1694	NA	NA	0	1	3	1	1694	0.987	1	dsDNAphage
ece2cc49-7519-455a-b2d9-5b7d1302ffe4	1	3	49	1876	0.985	0.990	1	3	49	1876	NA	NA	0	1	3	49	1876	1.000	0	RNA
ece012a6-1920-47b6-8004-915ae5041ff2	1	4	39	5785	0.980	0.990	1	4	39	5785	NA	NA	0	1	4	39	5785	0.995	0	RNA
ecb053b7-605d-4310-a94b-254a537fde3d	2	4	865	1898	0.860	0.880	1	4	17	1898	NA	NA	0	1	4	17	1898	0.855	0	RNA
eca49f01-a37f-4092-8f63-cca84de8607d	1	4	3	2396	1.000	1.000	1	4	3	2396	NA	NA	0	1	4	3	2396	1.000	0	ssDNA
ec04b4de-f948-4d02-8e47-ca790ad2d5a3	2	3	392	1356	0.993	0.993	1	3	123	1356	NA	NA	0	1	3	123	1356	0.593	0	NCLDV
eadf0e3b-47e9-4694-b940-58dec2c77aca	1	2	318	1549	0.933	0.933	1	2	318	1549	NA	NA	0	1	2	318	1549	1.000	0	ssDNA
eab55bc5-0dc6-4d0b-8b7e-4699051449fe	1	2	30	1846	0.940	0.940	1	3	30	2285	NA	NA	0	1	3	30	2285	0.960	0	lavidaviridae
ea0d2b0f-ea31-40ac-a10a-0f606f71b1e1	1	3	1	5200	0.893	0.920	1	3	1	5200	NA	NA	0	1	3	1	5200	0.867	0	lavidaviridae
e8df5a08-a811-4f36-9abb-116bfb1f09c6	1	5	1	2406	0.960	0.973	1	6	1	3278	NA	NA	0	1	6	1	3278	0.560	0	ssDNA
e8d6c8f2-d231-4660-87b3-c954ad5df152	4	6	2166	3591	0.993	0.993	1	6	22	3591	NA	NA	0	1	6	22	3591	0.827	0	lavidaviridae
e8b499e3-fea8-403b-ad0d-19476aa9fdf7	2	3	74	783	0.967	0.967	1	4	3	1647	NA	NA	0	1	4	3	1647	0.860	0	ssDNA
e887098a-c407-4c7a-a29d-a6d7beb8173b	1	4	2	1911	0.940	0.973	1	4	2	1911	NA	NA	0	1	4	2	1911	0.967	0	ssDNA
e785bacc-b953-4e11-bb0b-7a63cb037015	1	2	22	1063	0.973	0.973	1	2	22	1063	NA	NA	0	1	2	22	1063	0.987	1	dsDNAphage
e726d561-d63e-41ee-8363-8fcdea6d3bdb	1	8	2	4045	1.000	1.000	1	8	2	4045	NA	NA	0	1	8	2	4045	1.000	1	dsDNAphage
e70cb1d0-b8d4-496f-8a1a-948b4e427c68	1	4	96	2584	0.967	0.973	1	4	96	2584	NA	NA	0	1	4	96	2584	0.973	0	ssDNA
e659b047-107b-46ec-ba1b-b7a370d5fd8d	3	6	1266	3583	0.980	1.000	1	6	66	3583	NA	NA	0	1	6	66	3583	0.927	0	ssDNA
e5e956f3-72fe-471c-9f63-bb1fe836da50	1	2	165	1265	0.870	0.870	1	2	165	1265	NA	NA	0	1	2	165	1265	0.790	0	RNA
e5e5e925-753e-4838-a4e3-06846a2b0ea6	1	2	46	1989	0.953	0.953	1	2	46	1989	NA	NA	0	1	2	46	1989	0.927	1	dsDNAphage
e5d2a312-b12d-41d1-96bf-a395826c4dea	1	3	2	1288	0.973	0.973	1	3	2	1288	NA	NA	0	1	3	2	1288	0.993	0	ssDNA
e5534fe9-7295-4ed5-9ee3-912fcf3a6f8a	1	4	2	1239	0.960	0.967	1	4	2	1239	NA	NA	0	1	4	2	1239	0.940	1	dsDNAphage
e50c1201-17e2-48be-844f-14efc9121578	1	2	1	2766	1.000	1.000	1	2	1	2766	NA	NA	0	1	2	1	2766	1.000	1	dsDNAphage
e49a853b-e851-4944-bbb4-5595e880ba80	4	5	2684	3794	0.940	0.940	1	5	3	3794	NA	NA	0	1	5	3	3794	0.547	0	ssDNA
e4721f7e-8c85-4e9a-932d-5e70eaf20f6d	1	2	1	1223	0.973	0.973	1	2	1	1223	NA	NA	0	1	2	1	1223	0.993	0	ssDNA
e462a589-7838-4682-a1c6-5e127575d708	1	2	3	947	0.907	0.907	1	2	3	947	NA	NA	0	1	2	3	947	0.960	0	ssDNA
e442238e-e6d1-42be-a622-eb836fed7419	1	2	1	1277	1.000	1.000	1	3	1	1573	NA	NA	0	1	3	1	1573	0.993	0	ssDNA
e3b9801b-6d1c-41c4-94ef-4b3fa6c94180	1	2	3	1494	0.873	0.873	1	2	3	1494	NA	NA	0	1	2	3	1494	0.947	0	ssDNA
e39c2a44-ff19-40b5-8bb6-bcf517eb2e39	2	3	1502	2665	0.913	0.913	1	3	1	2665	NA	NA	0	1	3	1	2665	0.880	0	ssDNA
e3638658-7f02-4143-8517-45488869b0a5	1	3	20	2863	0.960	0.987	1	5	20	4138	NA	NA	0	1	5	20	4138	0.760	0	ssDNA
e3307883-9496-4b92-8239-6b46213c30e7	1	2	3	1178	0.960	0.960	1	2	3	1178	NA	NA	0	1	2	3	1178	0.900	0	ssDNA
e3222e68-072c-4191-83c1-4f34aba96269	1	4	19	1574	0.987	1.000	1	4	19	1574	NA	NA	0	1	4	19	1574	0.980	0	dsDNAphage
e2dfe6fe-cee3-482b-a7c4-0861b9c70733	1	4	179	3128	0.927	0.973	1	4	179	3128	NA	NA	0	1	4	179	3128	0.967	0	ssDNA
e1a62ca2-62d4-4937-a0e3-9780be0ce35a	1	4	2	2240	0.960	0.980	1	4	2	2240	NA	NA	0	1	4	2	2240	0.933	0	ssDNA
e11a1972-73e1-4e8d-89d3-2a9b48d61d11	1	3	2	1834	1.000	1.000	1	3	2	1834	NA	NA	0	1	3	2	1834	1.000	1	dsDNAphage
de9764ac-61bf-432d-b751-a13ae8b194a0	1	4	4	3111	0.973	1.000	1	4	4	3111	NA	NA	0	1	4	4	3111	0.967	1	dsDNAphage
de624f62-391a-44a6-b75f-ccd5ecc14c24	1	2	2	1018	0.920	0.920	1	3	2	1512	NA	NA	0	1	3	2	1512	0.820	0	ssDNA
ddf3ca19-648a-4a56-b86d-297f58fb5a56	1	2	1	1423	1.000	1.000	1	3	1	1740	NA	NA	0	1	3	1	1740	0.993	0	ssDNA
dd868540-4b79-49df-8bea-c693cc673646	2	12	208	4269	0.973	1.000	1	12	3	4269	NA	NA	0	1	12	3	4269	0.967	0	NCLDV
dd3610cf-58ba-4703-86db-0cdf5bb7e629	1	2	372	1631	0.987	0.987	1	2	372	1631	NA	NA	0	1	2	372	1631	0.987	1	dsDNAphage
dc80e8e9-12b0-4e71-b875-53c92da3d3b2	3	4	2120	3456	0.913	0.913	1	6	3	4823	NA	NA	0	1	6	3	4823	0.533	0	dsDNAphage
dc4084fc-4a02-428c-868a-e8c07af23a68	1	2	22	1114	0.887	0.887	1	2	22	1114	NA	NA	0	1	2	22	1114	0.920	0	ssDNA
dc21900e-cda4-4c2d-8a24-b7fd142464e5	1	4	2	2134	0.980	1.000	1	4	2	2134	NA	NA	0	1	4	2	2134	0.987	0	ssDNA
dbfab1cf-fcd8-4b95-af5b-032c4bfdcc8d	5	10	2462	4214	0.900	0.947	1	13	134	6163	NA	NA	0	1	13	134	6163	0.640	0	dsDNAphage
dbba096a-dbc4-43e0-a2af-26a9a457bfec	1	4	2	2447	0.960	0.987	1	4	2	2447	NA	NA	0	1	4	2	2447	0.993	0	ssDNA
db6d3e64-1220-4272-83e4-6594e0679f4f	1	3	1	1627	0.973	0.973	1	3	1	1627	NA	NA	0	1	3	1	1627	0.987	0	ssDNA
db174efb-05c8-4285-bc84-dda0b54e21e8	1	5	747	3437	1.000	1.000	1	5	747	3437	NA	NA	0	1	5	747	3437	1.000	1	dsDNAphage
db174e96-1aec-4df2-bfb1-8f9a34823cac	1	3	3	4023	0.953	0.973	1	3	3	4023	NA	NA	0	1	3	3	4023	0.947	2	dsDNAphage
daf3fcc4-ea58-4cca-b503-92b26b914f91	2	6	1739	4275	0.953	1.000	1	7	45	4933	NA	NA	0	1	7	45	4933	0.687	0	ssDNA
dac65078-5d05-4392-99e9-af59282ad3ba	2	4	400	2014	0.573	0.600	1	5	1	3057	NA	NA	0	1	5	1	3057	0.573	0	NCLDV
da7e7b72-1271-4be9-a254-440c0731307c	1	12	3	12838	1.000	1.000	1	12	3	12838	NA	NA	0	1	12	3	12838	0.980	1	dsDNAphage
da551121-036b-494b-a0a1-97ab606abb18	1	6	54	2704	0.993	0.993	1	6	54	2704	NA	NA	0	1	6	54	2704	1.000	0	dsDNAphage
da4087ba-fb3b-45ba-91d1-e246c019f112	2	3	1740	2622	0.980	0.980	1	4	2	3069	NA	NA	0	1	4	2	3069	0.927	0	ssDNA
d9e19061-d2e0-47b4-bb08-8fed30a2f81a	1	8	1	8712	0.933	0.980	1	8	1	8712	NA	NA	0	1	8	1	8712	0.953	2	dsDNAphage
d8e26bf6-c251-40f7-bc37-9b89a2008c45	1	6	59	5978	1.000	1.000	1	6	59	5978	NA	NA	0	1	6	59	5978	1.000	2	dsDNAphage
d876cc73-7b24-40bc-9c97-6bd819a8ba6e	1	2	28	2522	0.990	0.990	1	2	28	2522	NA	NA	0	1	2	28	2522	1.000	0	RNA
d807567e-c93f-41f6-820e-95ad368572a6	1	2	85	1537	0.940	0.940	1	2	85	1537	NA	NA	0	1	2	85	1537	1.000	0	ssDNA
d7ccd769-e230-43ca-a189-2ab7ed6264df	1	2	1	2097	0.965	0.965	1	2	1	2097	NA	NA	0	1	2	1	2097	0.960	0	RNA
d782d139-b2b7-4b5b-aeb1-a6f05e9d37a0	1	4	1	1284	0.973	0.987	1	4	1	1284	NA	NA	0	1	4	1	1284	0.993	0	dsDNAphage
d723ed83-7903-4deb-8a83-87deeb3ae0d0	1	14	3	7910	0.960	1.000	1	14	3	7910	NA	NA	0	1	14	3	7910	0.967	2	dsDNAphage
d711190a-283b-4ff0-be93-1f7ff26da277	1	7	2	4464	0.993	0.993	1	7	2	4464	NA	NA	0	1	7	2	4464	0.993	1	dsDNAphage
d7060455-1f08-4005-916d-d221f9ff84df	1	5	3	6180	1.000	1.000	1	5	3	6180	NA	NA	0	1	5	3	6180	0.993	1	dsDNAphage
d6cf75ff-2789-4f70-bf4f-8364487a1f0b	1	2	3	1087	0.973	0.973	1	2	3	1087	NA	NA	0	1	2	3	1087	0.993	0	ssDNA
d685ecf6-9a6d-4bb5-91e4-134c725be280	4	5	2975	3816	1.000	1.000	1	5	2	3816	NA	NA	0	1	5	2	3816	0.940	2	dsDNAphage
d59b25fe-fd1d-4e20-9ab0-8e7ba6a50493	1	2	3	4810	0.900	0.900	1	4	3	5969	NA	NA	0	1	4	3	5969	0.787	0	ssDNA
d57d60a7-99ac-4c9e-bd32-4410b0e122e5	1	4	2	3785	1.000	1.000	1	4	2	3785	NA	NA	0	1	4	2	3785	1.000	0	lavidaviridae
d507e2f3-7304-40eb-9e67-7db93d1d72a9	1	3	2	2368	0.987	0.993	1	3	2	2368	NA	NA	0	1	3	2	2368	0.987	0	ssDNA
d4b7f444-5c00-4be6-9fb4-3b8b5c1fdbb2	2	4	156	1655	0.993	0.993	1	4	1	1655	NA	NA	0	1	4	1	1655	0.967	0	NCLDV
d444552b-c1b8-4c80-b920-ec891ef2903d	2	3	90	1894	0.987	0.987	1	3	2	1894	NA	NA	0	1	3	2	1894	0.980	0	lavidaviridae
d3b2df6c-2aa5-4ea6-9cf6-37b81f480e3e	1	2	55	1172	0.487	0.487	1	2	55	1172	NA	NA	0	1	2	55	1172	0.727	0	NCLDV
d3ad1fdf-3ba8-460c-a7a4-e5a4872bf429	1	3	83	2489	1.000	1.000	1	3	83	2489	NA	NA	0	1	3	83	2489	0.993	0	ssDNA
d39b6b14-8753-4b96-930d-2f1e129d6d48	1	3	1	1226	0.820	0.820	1	3	1	1226	NA	NA	0	1	3	1	1226	0.820	0	RNA
d25e1065-9be0-4506-ab81-f12cd44188dd	1	6	3	2947	0.987	0.987	1	6	3	2947	NA	NA	0	1	6	3	2947	0.973	1	dsDNAphage
d23f415b-2a4f-4ba1-b753-b07ad4c65bfa	2	3	864	2372	0.967	0.967	1	3	39	2372	NA	NA	0	1	3	39	2372	0.813	0	lavidaviridae
d20c1a13-62f4-421d-aafc-67f3cf96dcde	1	2	2	1131	1.000	1.000	1	2	2	1131	NA	NA	0	1	2	2	1131	1.000	1	dsDNAphage
d1f41e09-b535-46ce-9fb1-4c373e24ecb7	1	11	30	4333	0.967	1.000	1	11	30	4333	NA	NA	0	1	11	30	4333	0.967	0	dsDNAphage
d1dc76fb-1376-43c9-9de7-eba1f45c0855	1	3	278	1302	0.980	0.987	1	3	278	1302	NA	NA	0	1	3	278	1302	0.993	1	dsDNAphage
d1a67308-38bc-45a9-8810-ea7bb76234b0	1	3	1	2004	1.000	1.000	1	3	1	2004	NA	NA	0	1	3	1	2004	0.987	0	ssDNA
d19b274d-5fa0-46f5-8153-0a2ae2af390b	1	11	102	5676	0.987	0.993	1	11	102	5676	NA	NA	0	1	11	102	5676	0.987	0	dsDNAphage
d0abb7b9-c4c6-4021-8ec6-040ab8e0b9df	1	2	191	1534	0.815	0.815	1	3	191	2181	NA	NA	0	1	3	191	2181	0.750	0	RNA
d043f2a6-2e1f-4e6e-aa7a-45396339e507	1	6	66	2504	1.000	1.000	1	6	66	2504	NA	NA	0	1	6	66	2504	1.000	3	dsDNAphage
cfae808c-419b-4b97-9733-cd03782b728a	4	6	2177	3773	1.000	1.000	1	7	62	3914	NA	NA	0	1	7	62	3914	0.767	0	ssDNA
cf6b6d69-964f-4b1d-b62e-7b5494375dd4	4	5	1135	3587	1.000	1.000	1	5	3	3587	NA	NA	0	1	5	3	3587	0.860	0	lavidaviridae
cf5a30ba-2e33-4277-bfd9-b0c5678e0d5f	1	2	3	1139	0.947	0.947	1	2	3	1139	NA	NA	0	1	2	3	1139	0.953	0	ssDNA
cec8ba04-aa6f-4730-9932-eaaf85be7e8f	1	3	268	2198	0.987	0.993	1	5	268	2763	NA	NA	0	1	5	268	2763	0.913	0	ssDNA
ce8fd7ec-245c-4d13-a6f1-5353b2416761	1	4	117	2591	0.980	0.980	1	5	117	3001	NA	NA	0	1	5	117	3001	0.920	0	ssDNA
ce765277-406f-4674-9f50-9df9224782ff	1	3	1	1321	0.830	0.830	1	3	1	1321	NA	NA	0	1	3	1	1321	0.740	0	RNA
cdaaa52c-8e11-4a6b-9344-dbf260d85499	3	4	2175	2786	0.913	0.913	1	6	271	4496	NA	NA	0	1	6	271	4496	0.707	0	lavidaviridae
cd83c48d-d4c4-472d-93d4-e31110d3ac39	1	2	6	1134	0.987	0.987	1	3	6	1436	NA	NA	0	1	3	6	1436	1.000	0	ssDNA
cd556fa4-e4c3-4f73-88c3-259a8ca24fb1	3	7	2196	5135	1.000	1.000	1	7	767	5135	NA	NA	0	1	7	767	5135	0.660	0	ssDNA
ccd5bacc-c615-4be3-84da-0867960cabda	1	5	2	2589	0.927	0.940	1	5	2	2589	NA	NA	0	1	5	2	2589	0.980	0	ssDNA
ccc2fe21-20e1-4af7-8337-dba182151139	1	9	3	4148	0.993	1.000	1	9	3	4148	NA	NA	0	1	9	3	4148	0.987	1	dsDNAphage
cb7ec490-6d2d-46bd-b10c-6be334e318da	3	5	1885	4313	1.000	1.000	1	5	1	4313	NA	NA	0	1	5	1	4313	0.940	0	ssDNA
cb12d387-815e-4f95-a1d4-e40b20de87ab	1	7	111	3032	0.980	0.993	1	8	111	4315	NA	NA	0	1	8	111	4315	0.933	0	dsDNAphage
cadc4a74-bcae-42b4-a205-4bac9c509f3c	1	4	306	3106	0.987	1.000	1	5	306	3809	NA	NA	0	1	5	306	3809	0.940	0	lavidaviridae
ca1fba81-b6a7-487e-a790-a0a03307197b	2	3	353	2013	0.913	0.913	1	3	1	2013	NA	NA	0	1	3	1	2013	0.740	0	lavidaviridae
ca1bce99-f595-43f2-90c1-f84ecfcffcb8	2	4	1391	3924	0.975	0.975	1	4	726	3924	NA	NA	0	1	4	726	3924	0.775	0	RNA
c96c1a19-aa4b-43bc-a153-ba2f96106ee5	1	2	1	537	0.987	0.987	1	3	1	1147	NA	NA	0	1	3	1	1147	0.980	0	ssDNA
c91474a6-a342-442c-96b1-8941d1c06e61	1	4	1	1938	0.947	0.960	1	4	1	1938	NA	NA	0	1	4	1	1938	0.907	0	ssDNA
c905c8b4-fa8e-4a94-8d7d-af37ede2b59f	1	2	3	1191	0.987	0.987	1	3	3	1367	NA	NA	0	1	3	3	1367	0.860	0	dsDNAphage
c8f97914-04b0-4721-9de2-e4f28a161313	1	3	3	1354	0.953	0.987	1	3	3	1354	NA	NA	0	1	3	3	1354	1.000	0	ssDNA
c8861457-b75f-4cc7-aa8a-516e59d75d11	2	4	234	1760	0.993	0.993	1	4	3	1760	NA	NA	0	1	4	3	1760	0.993	0	ssDNA
c885fc7c-1bf6-4595-a88f-cd8a1053cab1	1	3	121	1610	0.953	0.993	1	3	121	1610	NA	NA	0	1	3	121	1610	0.953	0	ssDNA
c805507a-bf4b-4515-9be0-193340763584	1	2	2	1519	1.000	1.000	1	2	2	1519	NA	NA	0	1	2	2	1519	1.000	1	dsDNAphage
c80508cc-58ef-4763-853d-a7a6a13a9188	2	3	2126	3114	1.000	1.000	1	3	509	3114	NA	NA	0	1	3	509	3114	0.947	0	ssDNA
c7bc5b28-0220-42e8-85fc-e83aedaa3a09	1	3	659	3215	0.753	0.753	1	3	659	3215	NA	NA	0	1	3	659	3215	0.707	0	lavidaviridae
c7928f41-7974-4df6-a617-203389bf8efd	1	6	432	2685	0.967	0.980	1	6	432	2685	NA	NA	0	1	6	432	2685	0.960	0	dsDNAphage
c73a0248-0a4e-4f54-8553-0e634ced59b3	1	2	1	944	0.973	0.973	1	2	1	944	NA	NA	0	1	2	1	944	0.980	0	NCLDV
