qaccver	saccver	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
NC_014760.1_0234	UniRef90_L0RXY2	49.7	380	188	2	17	396	21	397	5.5e-97	363.6
NC_014760.1_0235	UniRef90_A0A0C5BDX8	51.7	418	196	5	2	413	4	421	3.4e-105	391
NC_014760.1_0236	UniRef90_A0A014KUE9	57	1571	657	8	4	1570	3	1559	0	1728.4
NC_014760.1_0237	UniRef90_A0A501ST31	60	811	322	1	53	863	51	859	9e-276	958.7
NC_014760.1_0239	UniRef90_A0A2Z4NDH2	59.4	197	80	0	2	198	3	199	8.4e-62	245.7
NC_014760.1_0240	UniRef90_A0A4R7UE11	60	70	28	0	1	70	1	70	6.5e-17	95.1
NC_014760.1_0241	UniRef90_C4XES7	57.4	326	137	2	6	330	4	328	1e-99	372.5
NC_014760.1_0243	UniRef90_A0A3T0TUC8	60	130	51	1	3	131	14	143	7.5e-25	122.5
NC_014760.1_0244	UniRef90_UPI0004952055	59.1	88	33	1	1	88	1	85	2.1e-17	97.1
NC_014760.1_0245	UniRef90_R6YKI6	59.8	97	39	0	1	97	1	97	1e-23	118.2
NC_014760.1_0246	UniRef90_UPI0015AC8BD1	60	85	33	1	1	84	12	96	7.4e-21	108.6
NC_014760.1_0247	UniRef90_A0A449ATT3	57.9	233	98	0	1	233	1	233	2.8e-72	280.8
NC_014760.1_0248	UniRef90_A0A449B8Y8	59.9	342	134	2	8	348	9	348	5.3e-107	396.7
NC_014760.1_0249	UniRef90_UPI0004A6F94D	59.6	270	105	3	3	269	5	273	6e-87	329.7
NC_014760.1_0250	UniRef90_E2NRQ9	60	315	125	1	15	329	18	331	3.6e-102	380.6
NC_014760.1_0251	UniRef90_UPI000A06C426	59.4	155	59	2	7	161	1	151	1.1e-40	175.3
NC_014760.1_0252	UniRef90_A0A6M4JBK1	58.9	90	37	0	1	90	1	90	3.5e-23	116.3
NC_014760.1_0253	UniRef90_A0A2Z4LLU6	60	95	38	0	4	98	3	97	7.9e-24	118.6
NC_014760.1_0254	UniRef90_A0A501XC54	60	265	102	1	1	261	1	265	6.2e-79	303.1
NC_014760.1_0255	UniRef90_A0A6N1DW53	59.7	191	77	0	133	323	79	269	3.8e-56	227.6
NC_014760.1_0256	UniRef90_UPI0013197B65	60	105	41	1	1	104	1	105	4.2e-26	126.7
NC_014760.1_0257	UniRef90_A0A1F5S3I2	60	280	107	3	1	278	1	277	2.8e-87	330.9
NC_014760.1_0258	UniRef90_A0A1G0Y1X4	60	90	35	1	1	90	1	89	1.6e-23	117.5
NC_014760.1_0259	UniRef90_Q98PY6	59.6	109	44	0	5	113	2	110	2e-28	134
NC_014760.1_0260	UniRef90_K7X8V6	59.7	211	85	0	1	211	1	211	7.2e-67	262.7
NC_014760.1_0261	UniRef90_UPI0015C06EA7	60	135	54	0	1	135	1	135	3e-37	163.7
NC_014760.1_0262	UniRef90_A0A449B1W6	60	65	24	1	1	65	1	63	6.4e-11	75.1
NC_014760.1_0263	UniRef90_A0A449BKJ0	60	80	31	1	1	79	1	80	6.2e-17	95.5
NC_014760.1_0264	UniRef90_A4J121	60	115	46	0	8	122	8	122	2.5e-32	147.1
NC_014760.1_0265	UniRef90_A0A4P6MPB8	59.8	107	43	0	1	107	1	107	2.5e-28	133.7
NC_014760.1_0266	UniRef90_A0A1C6GTC3	59.7	176	71	0	2	177	7	182	1.6e-56	228
NC_014760.1_0267	UniRef90_A0A0G0MRT4	60	50	20	0	12	61	25	74	3.9e-10	72.4
NC_014760.1_0268	UniRef90_C5J5U5	60	130	51	1	2	131	3	131	3.6e-37	163.3
NC_014760.1_0269	UniRef90_Q4A5D6	60	180	71	1	1	179	1	180	1.4e-52	214.9
NC_014760.1_0270	UniRef90_Q6KI39	58.4	113	47	0	4	116	5	117	4.3e-26	126.3
NC_014760.1_0271	UniRef90_UPI000482C079	59.7	236	85	4	4	230	1	235	1.2e-62	248.8
NC_014760.1_0272	UniRef90_N9TRR3	59.4	143	58	0	1	143	1	143	4.9e-35	156.4
NC_014760.1_0274	UniRef90_UPI0004974681	53.6	330	153	0	1	330	1	330	2.3e-101	377.9
NC_014760.1_0275	UniRef90_D4XWU2	59.9	419	164	3	38	453	3	420	1.1e-131	479.2
NC_014760.1_0276	UniRef90_UPI000483DD59	59.6	218	85	2	1	216	1	217	5.2e-65	256.5
NC_014760.1_0277	UniRef90_A0A4R0XTN0	59.1	247	101	0	1	247	1	247	5.2e-77	296.6
NC_014760.1_0278	UniRef90_A0A5Q4VEQ4	60	70	27	1	1	69	1	70	3.8e-12	79.3
NC_014760.1_0279	UniRef90_A0A346N5H0	59.5	37	15	0	1	37	1	37	2.7e-6	58.9
NC_014760.1_0280	UniRef90_A0A556PGV6	60	120	48	0	1	120	1	120	1.7e-33	151
NC_014760.1_0281	UniRef90_A0A350IWX1	60	120	48	0	5	124	11	130	3.2e-33	150.2
NC_014760.1_0282	UniRef90_UPI000494DD78	59.7	340	132	5	1	336	1	339	7.2e-98	366.3
NC_014760.1_0283	UniRef90_UPI00051BFCE1	59.5	121	48	1	1	121	1	120	1.1e-32	148.3
NC_014760.1_0284	UniRef90_W5UTF0	59.8	264	105	1	1	263	1	264	5.2e-83	316.6
NC_014760.1_0285	UniRef90_UPI0004A707EA	59.9	309	124	0	1	309	1	309	9.7e-97	362.5
NC_014760.1_0286	UniRef90_A0A507SQ42	57.7	281	103	4	1	277	1	269	1.8e-76	295
NC_014760.1_0288	UniRef90_A0A449B3P5	57.8	249	103	1	1	249	1	247	5.2e-80	306.6
NC_014760.1_0289	UniRef90_A0A448ZXW0	59.9	212	85	0	3	214	1	212	5.9e-64	253.1
NC_014760.1_0290	UniRef90_A0A2H4CD37	59.7	432	173	1	1	431	1	432	1.1e-135	492.3
NC_014760.1_0291	UniRef90_A0A501XB88	60	235	91	3	1	233	1	234	5.8e-70	273.1
NC_014760.1_0293	UniRef90_A0A3T0TSZ2	59	424	166	3	3	421	2	422	3.8e-136	493.8
NC_014760.1_0296	UniRef90_A0A449B4H7	59.9	284	96	4	61	327	1	283	1.7e-80	308.5
NC_014760.1_0297	UniRef90_A0A0F5H0W4	59.8	356	142	1	1	355	1	356	2.2e-113	417.9
NC_014760.1_0298	UniRef90_A0A168RQF8	58	696	289	3	5	700	5	697	5.2e-207	729.9
NC_014760.1_0301	UniRef90_A0A3P8LHM1	57.6	479	196	2	1	477	1	474	1e-153	552.4
NC_014760.1_0303	UniRef90_A0A449B3M4	59.3	567	230	1	3	568	2	568	1.2e-188	668.7
NC_014760.1_0306	UniRef90_C5J5R4	59.9	274	110	0	1	274	1	274	2.1e-95	357.8
NC_014760.1_0307	UniRef90_UPI0004980B8D	59.1	279	113	1	1	278	1	279	5.8e-85	323.2
NC_014760.1_0308	UniRef90_A0A0L1IIU0	56.8	484	187	8	1	481	1	465	1.2e-141	512.3
NC_014760.1_0310	UniRef90_UPI000495CB2F	53.6	302	135	2	2	301	5	303	1.1e-76	295.8
NC_014760.1_0311	UniRef90_N9TTS9	60	395	156	2	5	398	1	394	9.7e-134	485.7
NC_014760.1_0314	UniRef90_UPI000BF28C8A	59.6	52	21	0	1	52	1	52	4.7e-8	65.9
NC_014760.1_0315	UniRef90_A0A6M4JIE0	59.4	323	129	2	1	323	1	321	4.2e-103	383.6
NC_014760.1_0316	UniRef90_UPI000495F871	52	423	192	5	1	414	1	421	7.7e-110	406.4
NC_014760.1_0317	UniRef90_A0A507SUS7	60	538	213	1	5	540	1	538	1.6e-187	664.8
NC_014760.1_0318	UniRef90_A0A014LZK9	58.9	523	215	0	1	523	1	523	4.3e-174	620.2
NC_014760.1_0319	UniRef90_A0A3P8LHM1	57.6	479	196	2	1	477	1	474	1e-153	552.4
NC_014760.1_0320	UniRef90_A0A454ANT3	59.1	259	106	0	4	262	3	261	4.5e-87	330.1
NC_014760.1_0321	UniRef90_A0A449AA13	58.1	241	101	0	1	241	1	241	1.1e-79	305.4
NC_014760.1_0322	UniRef90_A0A387L4H9	54	465	213	1	5	468	4	468	4.3e-144	520.4
NC_014760.1_0323	UniRef90_A0A1I6PNV8	60	595	232	2	2	591	6	599	8.6e-211	742.3
NC_014760.1_0324	UniRef90_A0A449B5F9	59.8	239	95	1	10	248	3	240	5.8e-76	293.1
NC_014760.1_0326	UniRef90_UPI000484C050	58.9	1173	430	10	7	1139	5	1165	0	1325.1
NC_014760.1_0327	UniRef90_A0A5F2F1P6	60	115	46	0	2	116	3	117	3.2e-29	136.7
NC_014760.1_0328	UniRef90_UPI0002E28128	60	60	24	0	3	62	4	63	1.8e-7	63.5
NC_014760.1_0329	UniRef90_A0A2Z5ISR2	59.5	168	67	1	1	167	1	168	2.7e-47	197.6
NC_014760.1_0331	UniRef90_A0A3P8KCF7	59.9	299	114	3	1	296	1	296	2.1e-93	351.3
NC_014760.1_0332	UniRef90_UPI0004985DBC	54.8	748	329	5	1	739	1	748	6e-222	779.6
NC_014760.1_0333	UniRef90_UPI00049631BC	55.9	372	161	2	3	372	2	372	1.4e-102	382.1
NC_014760.1_0334	UniRef90_UPI00048260E3	52.6	308	146	0	1	308	1	308	6.7e-74	286.6
NC_014760.1_0335	UniRef90_UPI0004843036	59.6	89	36	0	1	89	1	89	5.6e-21	109
NC_014760.1_0336	UniRef90_UPI0004833DFC	55.6	196	87	0	5	200	4	199	4.3e-58	233.4
NC_014760.1_0337	UniRef90_UPI000489E54F	55.2	134	60	0	3	136	4	137	4e-34	153.3
NC_014760.1_0339	UniRef90_UPI0004882530	59.2	522	205	2	2	523	3	516	9.6e-174	619
NC_014760.1_0342	UniRef90_I5D6V1	57.9	359	129	2	32	381	32	377	1.6e-109	405.2
NC_014760.1_0343	UniRef90_A0A2C9DYG2	59.7	231	92	1	4	234	6	235	2.9e-69	270.8
NC_014760.1_0344	UniRef90_A0A0C6G4I8	55.1	622	254	7	1	620	1	599	2.7e-183	651
NC_014760.1_0345	UniRef90_A0A3P8KAA1	60	902	346	8	9	905	9	900	1.6e-293	1017.7
NC_014760.1_0346	UniRef90_A0A4R0XRU6	59.7	290	115	1	3	292	2	289	4.5e-88	333.6
NC_014760.1_0348	UniRef90_A0A0F4LMS5	60	130	52	0	6	135	2	131	2.8e-32	147.1
NC_014760.1_0349	UniRef90_A0A134BHW8	59.8	132	53	0	13	144	13	144	2.7e-38	167.2
NC_014760.1_0351	UniRef90_UPI000497C3F0	54.9	319	144	0	1	319	1	319	4e-90	340.5
NC_014760.1_0352	UniRef90_H1YBH1	53.1	352	149	7	3	346	18	361	2.7e-95	357.8
NC_014760.1_0356	UniRef90_UPI0004849552	54.9	273	122	1	1	272	1	273	7.7e-74	286.2
NC_014760.1_0357	UniRef90_A0A505IGF5	60	400	151	6	1	395	1	396	3.9e-127	463.8
NC_014760.1_0359	UniRef90_N9V452	59.2	655	257	4	7	652	14	667	1.1e-214	755.4
NC_014760.1_0360	UniRef90_A5IY74	52.6	741	343	7	1	736	1	738	7.8e-206	726.1
NC_014760.1_0362	UniRef90_A0A059XZJ5	53.2	746	336	8	1	743	1	736	1e-205	725.7
NC_014760.1_0367	UniRef90_A0A449AT36	59.4	303	122	1	1	303	1	302	3.6e-96	360.5
NC_014760.1_0368	UniRef90_E4PTY7	55.2	145	64	1	6	149	3	147	8.8e-35	155.6
NC_014760.1_0370	UniRef90_A0A449AFD1	59.4	508	205	1	18	524	2	509	1.3e-170	608.6
NC_014760.1_0371	UniRef90_A0A501X9S6	59.9	451	180	1	1	451	1	450	1.1e-144	522.3
NC_014760.1_0374	UniRef90_UPI000495AC37	55.4	296	132	0	1	296	1	296	4.4e-91	343.6
NC_014760.1_0376	UniRef90_UPI00047FE132	59.7	724	282	7	13	732	6	723	8e-235	822.4
NC_014760.1_0378	UniRef90_A0A449B3L3	58.7	334	138	0	1	334	1	334	4.5e-108	400.2
