qaccver	saccver	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
NC_014760.1_0033	UniRef90_UPI00047FFE5A	75.9	349	83	1	13	361	9	356	4.6e-143	516.5
NC_014760.1_0034	UniRef90_UPI0004983B12	76.2	981	227	4	1	981	1	975	0	1494.6
NC_014760.1_0036	UniRef90_A0A454AQF7	74.1	162	42	0	1	162	1	162	6.4e-60	239.2
NC_014760.1_0038	UniRef90_UPI0004973065	64.2	413	147	1	1	413	1	412	4.2e-156	560.1
NC_014760.1_0039	UniRef90_A0A449B4W1	67	233	75	2	1	231	1	233	1.6e-83	318.2
NC_014760.1_0040	UniRef90_D3VQ10	64.8	193	67	1	2	194	1	192	3e-64	253.8
NC_014760.1_0041	UniRef90_UPI0004968F1E	75	72	18	0	6	77	4	75	2.6e-19	103.2
NC_014760.1_0042	UniRef90_A0A507SJX6	72.7	198	54	0	2	199	4	201	4.6e-76	293.1
NC_014760.1_0045	UniRef90_UPI000495D990	61	341	133	0	3	343	5	345	1.9e-106	394.8
NC_014760.1_0046	UniRef90_UPI00056B7DB1	79.6	235	48	0	4	238	3	237	7.2e-100	372.5
NC_014760.1_0047	UniRef90_UPI000496E357	76	183	44	0	1	183	1	183	1.7e-69	271.2
NC_014760.1_0048	UniRef90_UPI00058E4206	74.1	397	103	0	160	556	1	397	5.1e-173	616.7
NC_014760.1_0049	UniRef90_I5D5B5	72.3	383	106	0	1	383	52	434	2.3e-140	507.7
NC_014760.1_0050	UniRef90_I5D5B6	65.9	170	58	0	1	170	1	170	1.4e-54	221.5
NC_014760.1_0051	UniRef90_UPI00049592B9	65.3	331	115	0	1	331	1	331	8.6e-120	439.1
NC_014760.1_0052	UniRef90_D3VQ38	75.9	261	63	0	1	261	9	269	3.2e-109	403.7
NC_014760.1_0053	UniRef90_UPI0004970A27	74.6	252	64	0	1	252	1	252	8.9e-109	402.1
NC_014760.1_0054	UniRef90_A0A449B527	74.9	446	111	1	1	445	1	446	1.6e-193	684.5
NC_014760.1_0055	UniRef90_D3VQ15	78.1	224	49	0	1	224	1	224	1.1e-94	355.1
NC_014760.1_0056	UniRef90_A0A449B4Y9	79.9	334	67	0	1	334	1	334	2.3e-152	547.4
NC_014760.1_0057	UniRef90_A0A3P8LAK5	77	317	73	0	100	416	1	317	9.6e-140	505.8
NC_014760.1_0058	UniRef90_I5D5C4	73.8	336	86	1	10	343	8	343	2.1e-137	497.7
NC_014760.1_0059	UniRef90_A0A1I0GFS0	80	45	9	0	1	45	1	45	7.7e-9	67.8
NC_014760.1_0060	UniRef90_UPI00049779DC	74.3	105	27	0	1	105	1	105	8.6e-37	161.8
NC_014760.1_0061	UniRef90_UPI000496EF18	59.7	724	278	6	1	721	1	713	5.1e-242	846.3
NC_014760.1_0062	UniRef90_A0A449B4X9	69.6	326	99	0	1	326	1	326	2.1e-126	461.1
NC_014760.1_0064	UniRef90_UPI000496532F	56.3	240	105	0	1	240	1	240	1.1e-69	272.3
NC_014760.1_0065	UniRef90_UPI000495D11C	71.8	326	92	0	1	326	1	326	7.9e-134	485.7
NC_014760.1_0066	UniRef90_UPI0004969E6B	71.8	1466	402	6	1	1458	1	1463	0	2149
NC_014760.1_0067	UniRef90_UPI0004976CC9	79	404	85	0	1	404	1	404	7.2e-185	655.6
NC_014760.1_0068	UniRef90_UPI0004955D2C	76.6	321	75	0	1	321	1	321	1.3e-141	511.5
NC_014760.1_0069	UniRef90_D3VQ29	79.5	219	45	0	1	219	1	219	2e-96	360.9
NC_014760.1_0070	UniRef90_UPI000494EE3B	66	727	245	2	1	727	1	725	6.9e-287	995.3
NC_014760.1_0071	UniRef90_A0A6M4JB91	78.1	421	88	1	1	421	1	417	1e-181	645.2
NC_014760.1_0072	UniRef90_UPI000495E284	67	315	104	0	5	319	9	323	1.2e-129	471.9
NC_014760.1_0073	UniRef90_A5IXL1	79.5	386	79	0	1	386	1	386	3.8e-175	623.2
NC_014760.1_0074	UniRef90_I5D5E0	80	130	26	0	13	142	1	130	1.4e-55	224.6
NC_014760.1_0075	UniRef90_UPI0004977754	66	415	141	0	1	415	1	415	1.6e-155	558.1
NC_014760.1_0076	UniRef90_UPI000494FE11	75.4	362	89	0	1	362	1	362	1.7e-156	561.2
NC_014760.1_0077	UniRef90_UPI0004953407	73.6	235	62	0	10	244	1	235	9.6e-95	355.5
NC_014760.1_0078	UniRef90_D3VQ51	78.6	397	85	0	1	397	1	397	4.4e-179	636.3
NC_014760.1_0079	UniRef90_UPI0004985C31	72.1	86	24	0	1	86	1	86	1.6e-25	124
NC_014760.1_0080	UniRef90_UPI000495EDF8	72.2	291	81	0	1	291	1	291	6.6e-116	426
NC_014760.1_0081	UniRef90_I5D5E7	73.6	178	47	0	3	180	13	190	4.2e-68	266.5
NC_014760.1_0082	UniRef90_A0A3P8KMF6	79.9	149	30	0	1	149	1	149	6.2e-60	239.2
NC_014760.1_0083	UniRef90_D5E618	77.8	225	50	0	7	231	6	230	1.5e-91	344.7
NC_014760.1_0086	UniRef90_D3VQ59	61.3	253	97	1	1	253	1	252	2.7e-81	310.8
NC_014760.1_0087	UniRef90_C4XE90	76.8	177	41	0	1	177	1	177	8.2e-77	295.4
NC_014760.1_0088	UniRef90_I5D5F4	79.8	243	49	0	1	243	1	243	3.2e-103	383.6
NC_014760.1_0089	UniRef90_D1CJ39	64.9	77	27	0	1	77	1	77	4.6e-16	92.4
NC_014760.1_0090	UniRef90_UPI000496781F	76.2	281	67	0	6	286	7	287	2.3e-121	444.1
NC_014760.1_0091	UniRef90_D3VQ64	76.7	129	30	0	1	129	1	129	8.7e-52	211.8
NC_014760.1_0092	UniRef90_UPI000497137D	69.4	320	94	1	1	320	1	316	9.8e-121	442.2
NC_014760.1_0093	UniRef90_UPI0004965B41	73.6	337	79	1	1	327	1	337	6.3e-147	529.3
NC_014760.1_0094	UniRef90_UPI00049773B7	71.3	307	88	0	1	307	1	307	2.4e-124	454.1
NC_014760.1_0095	UniRef90_D3VQ68	75.5	229	56	0	1	229	1	229	3.8e-90	340.1
NC_014760.1_0096	UniRef90_UPI00049660F7	68.6	353	110	1	8	359	4	356	5.9e-138	499.6
NC_014760.1_0097	UniRef90_UPI00146FC3CB	77.8	325	72	0	4	328	2	326	4.5e-145	523.1
NC_014760.1_0098	UniRef90_F9UJV7	54.7	64	29	0	8	71	6	69	3.6e-10	72.8
NC_014760.1_0099	UniRef90_UPI000495378E	77.6	241	54	0	4	244	3	243	5.4e-103	382.9
NC_014760.1_0100	UniRef90_UPI000690CFB4	73.1	499	129	2	38	531	17	515	4.2e-209	736.5
NC_014760.1_0101	UniRef90_A0A168R9E3	74.2	62	15	1	1	62	1	61	1.3e-14	87.4
NC_014760.1_0102	UniRef90_A5IXN7	73.9	134	35	0	1	134	1	134	1e-50	208.8
NC_014760.1_0103	UniRef90_UPI00049760CC	68.4	301	94	1	1	301	1	300	3e-111	410.6
NC_014760.1_0104	UniRef90_UPI0004964E6B	50.7	972	462	6	3	961	2	969	2.6e-278	967.2
NC_014760.1_0105	UniRef90_UPI00049819BA	73.8	363	94	1	1	362	1	363	3.8e-140	506.9
NC_014760.1_0106	UniRef90_UPI000496C380	74.4	422	107	1	1	422	1	421	6.1e-179	636
NC_014760.1_0107	UniRef90_UPI0004A6BE20	78.4	352	76	0	29	380	25	376	1.1e-155	558.5
NC_014760.1_0108	UniRef90_UPI000A05CA25	67.3	786	256	1	1	786	2	786	3.5e-300	1039.6
NC_014760.1_0109	UniRef90_A5IXP4	75.3	328	79	2	1	327	2	328	9e-138	498.8
NC_014760.1_0110	UniRef90_A5IXP5	73	163	44	0	1	163	1	163	2.4e-59	237.3
NC_014760.1_0111	UniRef90_UPI000495212B	71.5	382	104	2	23	404	21	397	2.2e-149	537.7
NC_014760.1_0112	UniRef90_A5IXP9	76.3	493	116	1	152	644	1	492	3e-225	790.4
NC_014760.1_0113	UniRef90_UPI000484E952	79	143	29	1	6	148	5	146	1.3e-59	238
NC_014760.1_0114	UniRef90_UPI0004950ACB	60.6	685	270	0	1	685	1	685	1.5e-238	834.7
NC_014760.1_0115	UniRef90_D3VPV2	78.9	128	27	0	1	128	1	128	6.6e-44	185.7
NC_014760.1_0116	UniRef90_UPI0004951086	76.3	152	36	0	1	152	1	152	1.3e-59	238
NC_014760.1_0117	UniRef90_UPI0004982788	76.9	130	30	0	1	130	1	130	2e-51	210.7
NC_014760.1_0118	UniRef90_UPI0004977708	74.8	290	73	0	1	290	1	290	5.2e-121	443
NC_014760.1_0119	UniRef90_UPI00049599F2	72.3	347	96	0	1	347	1	347	1.4e-144	521.5
NC_014760.1_0120	UniRef90_UPI0004981F25	79.9	478	96	0	1	478	1	478	6.2e-228	798.9
NC_014760.1_0121	UniRef90_UPI0004971C8E	56.7	120	51	1	1	120	1	119	4e-30	139.8
NC_014760.1_0122	UniRef90_A5IXR0	61.8	604	227	2	1	603	1	601	2.5e-210	740.7
NC_014760.1_0123	UniRef90_D3VPW0	77.2	232	53	0	1	232	1	232	2.2e-98	367.5
NC_014760.1_0124	UniRef90_UPI0004896024	79.3	786	163	0	6	791	4	789	0	1323.9
NC_014760.1_0125	UniRef90_UPI0004828E6D	58.1	606	253	1	1	605	1	606	9.4e-205	722.2
NC_014760.1_0126	UniRef90_A0A449B4A9	73.8	466	114	1	5	470	5	462	1.1e-192	681.8
NC_014760.1_0127	UniRef90_UPI000495484C	76.6	278	65	0	1	278	1	278	1.3e-113	418.3
NC_014760.1_0128	UniRef90_UPI00056413E2	71.9	267	75	0	2	268	3	269	5.6e-102	379.8
NC_014760.1_0129	UniRef90_UPI0004950151	55.9	633	258	3	1	632	1	613	7.7e-202	712.6
NC_014760.1_0130	UniRef90_A0A6M4J8T8	79.7	64	13	0	1	64	1	64	1.3e-22	114
NC_014760.1_0131	UniRef90_D3VPW8	67.5	542	176	0	1	542	1	542	1.8e-207	731.1
NC_014760.1_0132	UniRef90_UPI000495583A	78.3	378	82	0	1	378	1	378	2.2e-164	587.4
NC_014760.1_0133	UniRef90_UPI0004964CD7	52.8	89	42	0	1	89	1	89	2.2e-12	80.5
NC_014760.1_0134	UniRef90_UPI00067B7F41	78.5	465	96	1	1	461	1	465	2.4e-208	733.8
NC_014760.1_0136	UniRef90_F4MQS7	70.6	470	138	0	1	470	1	470	2.3e-195	690.6
NC_014760.1_0137	UniRef90_A0A2N8U1N0	63.7	251	36	1	1	251	1	196	3.7e-73	283.9
NC_014760.1_0138	UniRef90_A0A4U0W9C8	75.6	250	31	1	1	250	13	232	4.1e-97	364.4
NC_014760.1_0139	UniRef90_A0A4U0W9C8	75.2	250	32	1	1	250	13	232	7e-97	363.6
NC_014760.1_0141	UniRef90_UPI000497574D	69.9	816	244	2	1	815	1	815	0	1194.1
NC_014760.1_0142	UniRef90_UPI000498223B	75.7	284	68	1	3	286	3	285	1.3e-119	438.3
NC_014760.1_0143	UniRef90_UPI00049569AF	72.6	318	87	0	1	318	1	318	2e-126	461.1
NC_014760.1_0144	UniRef90_UPI0004872520	71.8	397	111	1	1	397	1	396	1.6e-157	564.7
NC_014760.1_0145	UniRef90_UPI0004979B20	69.3	140	43	0	1	140	1	140	4.7e-51	209.5
NC_014760.1_0146	UniRef90_UPI0004984446	70.3	192	57	0	1	192	1	192	2.1e-73	284.3
NC_014760.1_0147	UniRef90_D3VPT1	78.5	489	105	0	1	489	1	489	2.9e-220	773.5
NC_014760.1_0148	UniRef90_UPI00048252F3	78.6	477	102	0	1	477	1	477	2.2e-217	763.8
NC_014760.1_0150	UniRef90_UPI0004868A33	77.7	593	131	1	1	592	1	593	1.5e-255	891
NC_014760.1_0151	UniRef90_I5D5L3	79.3	425	88	0	1	425	1	425	1.2e-193	684.9
NC_014760.1_0152	UniRef90_UPI0003128B20	57.6	125	50	2	5	127	5	128	3.5e-21	110.2
NC_014760.1_0153	UniRef90_E4PSZ3	62.9	329	121	1	1	329	1	328	4e-117	430.3
NC_014760.1_0154	UniRef90_I5D5L6	72.2	266	74	0	1	266	1	266	4.2e-109	403.3
NC_014760.1_0158	UniRef90_A0A0L1IJM2	69.8	116	34	1	1	116	1	115	6.3e-36	159.1
NC_014760.1_0159	UniRef90_UPI00066CDFD2	65.4	381	130	1	1	381	168	546	6.9e-145	522.7
NC_014760.1_0160	UniRef90_UPI0005210CF2	69.6	92	26	2	21	110	19	110	4.1e-22	113.2
NC_014760.1_0162	UniRef90_UPI00047F8EA5	69.1	110	34	0	1	110	1	110	1.4e-33	151.4
NC_014760.1_0163	UniRef90_UPI0009FC53C8	56.1	472	196	3	1	462	1	471	7.1e-142	513.1
NC_014760.1_0164	UniRef90_A5IXU5	73.4	128	34	0	27	154	128	255	3.6e-44	186.8
NC_014760.1_0165	UniRef90_A0A4U0W9Q2	78.2	119	26	0	29	147	6	124	2.6e-39	170.6
NC_014760.1_0167	UniRef90_A5IXU7	79.5	419	86	0	1	419	1	419	1e-187	665.2
NC_014760.1_0168	UniRef90_D3VPK8	56.2	774	327	7	1	767	1	769	3.1e-245	857.1
NC_014760.1_0170	UniRef90_D3VPY2	74.1	440	113	1	115	554	27	465	1.5e-180	641.7
NC_014760.1_0171	UniRef90_A0A2W7G071	69.6	112	34	0	1	112	135	246	1.3e-35	157.9
NC_014760.1_0172	UniRef90_A0A449B5C5	62.9	143	53	0	9	151	141	283	7.5e-43	182.6
NC_014760.1_0173	UniRef90_A0A0L1IIU2	79.8	163	33	0	66	228	1	163	4.9e-69	270
NC_014760.1_0174	UniRef90_A0A0L1IIH9	79.9	149	30	0	3	151	18	166	2.4e-61	243.8
NC_014760.1_0175	UniRef90_F4MQS7	74.3	304	78	0	1	304	1	304	1e-130	475.3
NC_014760.1_0176	UniRef90_UPI00058E4206	76.7	90	21	0	1	90	74	163	1e-32	148.3
NC_014760.1_0180	UniRef90_D3VQW5	75.7	420	102	0	1	420	1	420	1e-162	582
NC_014760.1_0181	UniRef90_Q1IH52	77.8	523	112	3	1	522	1	520	3.8e-223	783.1
NC_014760.1_0182	UniRef90_I5D504	78.7	150	32	0	1	150	1	150	1.5e-66	261.2
NC_014760.1_0183	UniRef90_L5L808	57.8	571	237	4	1	570	1	568	2.2e-171	611.3
NC_014760.1_0184	UniRef90_E4PUM4	66.7	75	25	0	1	75	1	75	4.3e-19	102.4
NC_014760.1_0187	UniRef90_F4MQS7	70.4	470	139	0	1	470	1	470	3.4e-194	686.8
NC_014760.1_0188	UniRef90_UPI00055B8070	74.6	1114	271	8	1	1110	1	1106	0	1634.8
NC_014760.1_0189	UniRef90_C4XFA6	62.3	414	154	2	1	413	519	931	2.7e-147	530.8
NC_014760.1_0190	UniRef90_UPI00067B7F41	78.5	465	96	1	1	461	1	465	2.4e-208	733.8
NC_014760.1_0191	UniRef90_C4XFA6	53.9	466	210	3	1	462	1	465	1.2e-140	508.8
NC_014760.1_0192	UniRef90_D3VQD2	69.4	147	44	1	1	147	1	146	1.2e-36	161.8
NC_014760.1_0195	UniRef90_D3VQC7	77.8	329	70	1	1	329	1	326	7.7e-137	495.7
NC_014760.1_0198	UniRef90_N9UB94	74.1	85	22	0	16	100	21	105	5.8e-27	129
NC_014760.1_0201	UniRef90_A5IXU4	71.3	502	132	4	1	496	1	496	2.6e-200	707.2
NC_014760.1_0202	UniRef90_UPI00094B23CA	80	165	33	0	24	188	31	195	4.9e-71	276.6
NC_014760.1_0203	UniRef90_UPI00094B23CA	75.1	185	45	1	28	211	37	221	1.8e-70	274.6
NC_014760.1_0205	UniRef90_D3VQC2	79.2	221	46	0	1	221	1	221	3.3e-91	343.6
NC_014760.1_0206	UniRef90_D3VQV1	77.5	142	24	1	1	142	1	134	3.5e-54	219.9
NC_014760.1_0208	UniRef90_D3VQB9	76.6	265	59	3	1	263	1	264	4e-104	386.7
NC_014760.1_0209	UniRef90_A0A0L1IIW8	79.5	195	37	1	1	192	1	195	5.6e-82	312.8
NC_014760.1_0210	UniRef90_D3VRB3	74.9	411	94	4	13	421	1	404	2.6e-169	604
NC_014760.1_0211	UniRef90_UPI0004979EF6	76.8	453	105	0	1	453	1	453	3.7e-198	699.9
NC_014760.1_0212	UniRef90_A0A482KDB0	59.8	333	131	2	1	331	1	332	1.7e-110	408.3
NC_014760.1_0213	UniRef90_I5D6L5	56.7	298	129	0	1	298	1	298	5.2e-84	320.1
NC_014760.1_0214	UniRef90_I5D6L4	65.8	439	142	4	1	432	1	438	5.7e-164	586.3
NC_014760.1_0215	UniRef90_UPI00048489F4	74.4	395	100	1	1	394	1	395	2.1e-165	590.9
NC_014760.1_0216	UniRef90_UPI00055F0094	73.4	331	88	0	2	332	5	335	1.7e-136	494.6
NC_014760.1_0217	UniRef90_UPI000495229E	79.5	78	16	0	1	78	1	78	8.3e-29	134.8
NC_014760.1_0218	UniRef90_I5D6L0	75.8	269	65	0	1	269	1	269	1.2e-114	421.8
NC_014760.1_0219	UniRef90_UPI0004879BB8	80	450	90	0	1	450	1	450	1.6e-196	694.5
NC_014760.1_0221	UniRef90_UPI0004971F54	74.1	371	96	0	6	376	5	375	1.9e-155	557.8
NC_014760.1_0223	UniRef90_D3VRA1	72.9	133	36	0	1	133	1	133	9.3e-49	201.8
NC_014760.1_0224	UniRef90_UPI0004954D5E	76.5	463	109	0	1	463	1	463	3e-211	743.4
NC_014760.1_0225	UniRef90_A5IZ18	67.2	685	215	3	3	678	2	685	1.4e-257	897.9
NC_014760.1_0226	UniRef90_D3VR98	77.3	647	142	4	1	643	1	646	8.5e-273	948.3
NC_014760.1_0227	UniRef90_I5D6K2	78.8	184	39	0	1	184	1	184	7.2e-76	292.4
NC_014760.1_0228	UniRef90_D3VR96	67.7	124	23	1	1	124	1	107	5.5e-32	146.7
NC_014760.1_0229	UniRef90_A0A2N8U353	79.1	339	59	4	1	338	1	328	4.6e-28	134.4
NC_014760.1_0230	UniRef90_D3VR88	75.3	892	220	0	1	892	1	892	0	1343.9
NC_014760.1_0231	UniRef90_A0A6F8K4D3	64.7	365	120	6	8	368	157	516	1.4e-116	428.7
NC_014760.1_0232	UniRef90_D3VR92	74.2	1066	274	1	1	1065	1	1066	0	1543.1
NC_014760.1_0233	UniRef90_L0RW56	78.3	309	66	1	3	310	6	314	1.1e-137	498.4
NC_014760.1_0234	UniRef90_A0A6F8KCN6	77.5	320	54	3	91	396	87	402	3e-127	464.2
NC_014760.1_0235	UniRef90_A0A0C5BDX8	51.7	418	196	5	2	413	4	421	3.4e-105	391
NC_014760.1_0236	UniRef90_A0A014KUE9	57	1571	657	8	4	1570	3	1559	0	1728.4
NC_014760.1_0237	UniRef90_UPI000488EDD3	76	893	201	3	29	915	27	912	0	1291.9
NC_014760.1_0238	UniRef90_D3VR85	68.8	500	156	0	1	500	1	500	4.5e-197	696.4
NC_014760.1_0239	UniRef90_UPI000482ED9D	78.8	198	42	0	1	198	2	199	1.1e-82	315.1
NC_014760.1_0240	UniRef90_A0A507SQK4	80	70	14	0	1	70	1	70	6.4e-25	121.7
NC_014760.1_0241	UniRef90_UPI000497739E	75.3	332	81	1	1	332	1	331	1.3e-131	478.4
NC_014760.1_0242	UniRef90_D3VR81	69.1	340	101	2	1	340	1	336	2.9e-131	477.2
NC_014760.1_0243	UniRef90_C4XES9	67.9	134	43	0	1	134	1	134	3.5e-38	166.8
NC_014760.1_0244	UniRef90_UPI0004952055	59.1	88	33	1	1	88	1	85	2.1e-17	97.1
NC_014760.1_0245	UniRef90_UPI000471F685	79.8	99	20	0	1	99	1	99	2.6e-35	156.8
NC_014760.1_0246	UniRef90_A0A4R6IEZ8	79	81	17	0	1	81	1	81	3.3e-29	136.3
NC_014760.1_0247	UniRef90_UPI000496F472	65.8	228	78	0	3	230	2	229	4.3e-81	310.1
NC_014760.1_0248	UniRef90_UPI000496A671	78.2	358	77	1	1	358	1	357	8.7e-158	565.5
NC_014760.1_0249	UniRef90_UPI00049831E8	77.3	269	61	0	1	269	1	269	1.4e-120	441.4
NC_014760.1_0250	UniRef90_A0A3G4YNW3	78.5	237	51	0	56	292	1	237	2.7e-97	364.4
NC_014760.1_0251	UniRef90_UPI00049560E1	71.6	162	46	0	1	162	1	162	1.4e-62	248.1
NC_014760.1_0252	UniRef90_UPI0004973FBF	75.8	91	22	0	1	91	1	91	2.9e-33	149.8
NC_014760.1_0253	UniRef90_C4XG16	77.2	101	23	0	1	101	1	101	7.3e-38	165.2
NC_014760.1_0254	UniRef90_UPI000494ECE2	76.3	278	64	1	1	276	1	278	2.8e-108	400.6
NC_014760.1_0255	UniRef90_UPI000497230E	76.1	213	51	0	111	323	151	363	4.8e-83	317
NC_014760.1_0256	UniRef90_D3VR67	76.7	146	34	0	1	146	1	146	6.6e-48	199.1
NC_014760.1_0257	UniRef90_C5J5T5	79.7	281	57	0	1	281	1	281	3.7e-124	453.4
NC_014760.1_0258	UniRef90_A0A4R6IH20	79.3	92	18	1	1	92	1	91	4.5e-34	152.5
NC_014760.1_0259	UniRef90_A0A449AUL6	79.8	109	22	0	5	113	2	110	8.8e-40	171.8
NC_014760.1_0260	UniRef90_A0A168RNA9	79	214	45	0	1	214	1	214	3.7e-87	330.1
NC_014760.1_0261	UniRef90_A0A6M4JG17	80	140	28	0	1	140	1	140	2.4e-55	223.8
NC_014760.1_0262	UniRef90_A0A449B3J4	74.2	66	16	1	1	65	1	66	3.9e-16	92.4
NC_014760.1_0263	UniRef90_N9V048	77	87	20	0	1	87	1	87	2.1e-28	133.7
NC_014760.1_0264	UniRef90_K7XLH2	79.7	123	24	1	1	122	1	123	1.4e-43	184.5
NC_014760.1_0265	UniRef90_UPI000497491B	77.8	108	24	0	1	108	1	108	6.4e-40	172.2
NC_014760.1_0266	UniRef90_A0A0D5ZJY7	78.9	180	37	1	3	181	2	181	1.9e-73	284.3
NC_014760.1_0267	UniRef90_Q6KI42	78.7	61	13	0	1	61	1	61	1.4e-20	107.1
NC_014760.1_0268	UniRef90_A0A449BA12	79.4	131	27	0	1	131	1	131	6.8e-52	212.2
NC_014760.1_0269	UniRef90_UPI00047FED9A	74.3	179	46	0	1	179	1	179	2.6e-70	273.9
NC_014760.1_0270	UniRef90_A0A6M4JAZ3	77.1	118	25	1	1	116	1	118	9e-40	171.8
NC_014760.1_0271	UniRef90_A0A4Y6I655	80	155	30	1	74	228	59	212	7.5e-62	246.1
NC_014760.1_0272	UniRef90_UPI00055F8C6A	79.2	144	30	0	1	144	1	144	1.2e-49	204.9
NC_014760.1_0273	UniRef90_A5IYW7	63.7	350	127	0	1	350	1	350	4e-123	450.3
NC_014760.1_0274	UniRef90_C5JAC8	75.5	330	81	0	1	330	1	330	2.8e-147	530.4
NC_014760.1_0275	UniRef90_UPI000485BE0F	74.8	492	123	1	1	492	1	491	3.4e-197	696.8
NC_014760.1_0276	UniRef90_UPI000691F568	69.5	203	62	0	13	215	1	203	1e-76	295.4
NC_014760.1_0277	UniRef90_UPI000483780C	77.1	249	57	0	1	249	1	249	8.2e-107	395.6
NC_014760.1_0278	UniRef90_A0A0D5ZJQ8	78.6	70	15	0	1	70	1	70	2e-21	110.2
NC_014760.1_0279	UniRef90_B0VI08	78.9	38	7	1	1	37	3	40	3.2e-7	62
NC_014760.1_0280	UniRef90_A0A6M4JD39	80	120	24	0	1	120	1	120	7.5e-45	188.7
NC_014760.1_0281	UniRef90_A0A449A639	80	125	25	0	8	132	10	134	1.2e-48	201.4
NC_014760.1_0282	UniRef90_UPI0004842686	71.7	339	93	2	1	336	1	339	2.9e-131	477.2
NC_014760.1_0283	UniRef90_UPI0004843543	78.5	121	26	0	1	121	1	121	6.3e-44	185.7
NC_014760.1_0284	UniRef90_UPI000486EB94	78.9	265	56	0	1	265	1	265	1.3e-113	418.3
NC_014760.1_0285	UniRef90_UPI000497E5B1	79.5	303	62	0	1	303	1	303	8.4e-133	482.3
NC_014760.1_0286	UniRef90_UPI000483BA1A	71.9	302	84	1	1	301	1	302	2.7e-112	414.1
NC_014760.1_0287	UniRef90_D3VR26	63.9	349	126	0	1	349	1	349	1.1e-125	458.8
NC_014760.1_0288	UniRef90_UPI0004818D4E	67.1	252	83	0	1	252	1	252	1.2e-95	358.6
NC_014760.1_0289	UniRef90_A0A449ALV1	79.1	196	41	0	1	196	1	196	3.8e-79	303.5
NC_014760.1_0290	UniRef90_A0A5B8K6J5	78	431	95	0	1	431	1	431	4.2e-183	649.8
